                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.54145,                 1.6042,                0.85454,                0.99647,                0.98765,                0.99128,                0.85255,                0.62477,                 0.8857,                0.86761,             0.00016991,             0.00016991,             0.00016991
                     92,                0.50006,                 1.5745,                0.84374,                0.99672,                0.98765,                0.99318,                0.85299,                0.63209,                0.90578,                 0.8729,             0.00015576,             0.00015576,             0.00015576
                     93,                0.53417,                 1.5876,                0.84248,                0.99695,                0.98765,                0.99294,                0.85476,                0.63692,                0.92172,                0.87025,             0.00014161,             0.00014161,             0.00014161
                     94,                0.51467,                 1.5602,                0.84653,                0.99695,                0.98765,                0.99294,                0.85476,                0.63692,                0.92172,                0.87025,             0.00012747,             0.00012747,             0.00012747
                     95,                0.49421,                  1.551,                0.84205,                0.99711,                0.98765,                 0.9923,                0.84945,                0.64257,                0.93469,                0.87092,             0.00011332,             0.00011332,             0.00011332
                     96,                  0.504,                 1.5435,                0.84084,                0.99734,                0.98765,                0.99344,                0.85106,                0.64383,                0.95274,                0.87545,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.50769,                 1.5509,                0.83071,                0.99734,                0.98765,                0.99318,                0.85137,                0.64801,                0.94844,                 0.8751,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.47759,                 1.5436,                0.82956,                0.99725,                0.98765,                 0.9925,                0.85261,                0.64692,                0.93781,                0.87519,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.49259,                 1.5479,                0.82397,                0.99713,                0.98765,                0.99294,                0.85174,                0.64688,                0.92194,                0.87395,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.48876,                 1.5418,                0.83598,                0.99713,                0.98765,                0.99294,                0.85174,                0.64688,                0.92194,                0.87395,             4.2584e-05,             4.2584e-05,             4.2584e-05
