                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.56361,                0.35716,                0.86266,                0.99932,                0.99988,                  0.995,                0.84717,                  0.625,                0.32468,                0.86527,             0.00073579,             0.00073579,             0.00073579
                     52,                  0.569,                0.35177,                0.86878,                0.99507,                0.99768,                0.99491,                0.85744,                0.62515,                0.32048,                0.86785,             0.00072164,             0.00072164,             0.00072164
                     53,                  0.554,                0.34107,                0.85728,                0.99841,                0.99935,                  0.995,                 0.8526,                0.64247,                 0.3203,                0.87831,              0.0007075,              0.0007075,              0.0007075
                     54,                0.56738,                0.35076,                0.87302,                0.99163,                0.99844,                0.99486,                0.85332,                0.62333,                0.31461,                0.86946,             0.00069335,             0.00069335,             0.00069335
                     55,                0.55488,                0.34823,                0.85982,                0.99695,                0.99469,                  0.995,                0.85082,                0.62921,                0.31322,                0.87031,              0.0006792,              0.0006792,              0.0006792
                     56,                0.56552,                0.34635,                 0.8677,                0.99856,                0.99854,                  0.995,                 0.8539,                0.63166,                0.32744,                0.87183,             0.00066506,             0.00066506,             0.00066506
                     57,                0.53338,                0.34111,                 0.8568,                0.99606,                0.99958,                0.99495,                0.85496,                 0.6274,                0.31953,                0.87079,             0.00065091,             0.00065091,             0.00065091
                     58,                0.55671,                0.34734,                0.86779,                0.99153,                0.99305,                0.99434,                0.85537,                0.62763,                0.31738,                0.88128,             0.00063676,             0.00063676,             0.00063676
                     59,                0.55437,                 0.3432,                 0.8631,                0.99449,                0.99389,                0.99498,                0.85835,                0.62983,                 0.3081,                0.87106,             0.00062262,             0.00062262,             0.00062262
                     60,                0.55085,                 0.3391,                0.86251,                0.99869,                0.99926,                  0.995,                0.85698,                0.62365,                0.31317,                0.86865,             0.00060847,             0.00060847,             0.00060847
                     61,                0.55589,                0.33301,                0.86627,                0.99434,                      1,                  0.995,                0.86189,                0.62682,                0.31179,                0.87324,             0.00059432,             0.00059432,             0.00059432
                     62,                0.54337,                0.33805,                0.85316,                0.99974,                0.99767,                  0.995,                 0.8628,                0.61445,                0.30518,                0.87017,             0.00058017,             0.00058017,             0.00058017
                     63,                0.54804,                0.33811,                0.85604,                  0.997,                0.99757,                0.99495,                0.85702,                0.62222,                0.30788,                 0.8745,             0.00056603,             0.00056603,             0.00056603
